expense_id,user_id,expense_date,expense_amount,shopping_type,description,merchant,payment_method,recurring,tags
34c1c177-e1a7-4cbf-b929-f97df5292a3a,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-12,458.42,Subscription,Spent $458.42 on subscription at Spotify using Bank Transfer.,Spotify,Bank Transfer,False,['Subscription']
fa2ea42f-4b1d-41f8-84d0-e6a8d7e03c28,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-06,433.02,Travel,Spent $433.02 on travel at Hilton Hotels using Bank Transfer.,Hilton Hotels,Bank Transfer,False,['Travel']
9c69ed34-23ee-4559-9e68-78744f823306,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-13,37.46,Fuel,Spent $37.46 on fuel at Shell Gas Station using Debit Card.,Shell Gas Station,Debit Card,True,"['Fuel', 'Recurring']"
cd7d1fca-55b6-46d7-9d5c-c1711d62b705,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-24,334.58,Restaurant,Spent $334.58 on restaurant at McDonald's using Bank Transfer.,McDonald's,Bank Transfer,True,"['Restaurant', 'Recurring']"
2faaef5b-1948-4a95-a878-e9a48aace22e,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-02-05,28.51,Home Improvement,Spent $28.51 on home improvement at IKEA using Debit Card.,IKEA,Debit Card,True,"['Home Improvement', 'Recurring']"
66aa3643-6cba-4c96-ba4d-cf54ae288a91,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-02-23,18.41,Groceries,Spent $18.41 on groceries at Costco using PayPal.,Costco,PayPal,False,['Groceries']
138f651f-e748-418d-a068-bf0e28abc673,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-03,141.94,Groceries,Spent $141.94 on groceries at Local Market using PayPal.,Local Market,PayPal,False,['Groceries']
6715cfc0-6ac4-41bf-a2e2-9b76c0b26b7d,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-17,386.34,Home Improvement,Spent $386.34 on home improvement at Home Depot using Debit Card.,Home Depot,Debit Card,True,"['Home Improvement', 'Recurring']"
3102d1ba-81da-4942-9cfa-b4003ac13a8a,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-02-19,328.52,Fuel,Spent $328.52 on fuel at Shell Gas Station using PayPal.,Shell Gas Station,PayPal,True,"['Fuel', 'Recurring']"
2971be28-a87d-48d8-b386-1b5a6cd3d968,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-02-14,442.51,Subscription,Spent $442.51 on subscription at Netflix using Bank Transfer.,Netflix,Bank Transfer,False,['Subscription']
218ef58e-3af9-4a90-b1ce-eb959ed10e09,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-21,23.84,Transport,Spent $23.84 on transport at Lyft using Credit Card.,Lyft,Credit Card,False,['Transport']
b7e1d58d-1596-40b9-8087-d44b0cf60fb2,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-03-02,171.79,Shopping,Spent $171.79 on shopping at Target using PayPal.,Target,PayPal,True,"['Shopping', 'Recurring']"
0c72d897-f80e-4811-93b3-893b0f6b5d5b,24e64c01-6f77-4f4d-a0ab-2532cdfefc22,2025-01-08,473.53,Home Improvement,Spent $473.53 on home improvement at Home Depot using Bank Transfer.,Home Depot,Bank Transfer,True,"['Home Improvement', 'Recurring']"
